Material,Type,Model/Comment,Grammatura,E1,E2,NU12,G12,Xt,Xc,Yt,Yc,S,thickness,Rho
Carbon,UD,,400,163488,8193,0.274,4828,1891,1200,21.4,70,50.26,0.39,1.03E-06
Carbon,TWILL,,200,67298,67298,0.079,5560,646,,646,,68.72,0.201,9.95E-07
Carbon,Biax,,200,15519,15519,0.173,26348,139,,139,,321.62,0.25,8.00E-07
,,,,,,,,,,,,,,
Basalt,UD,,300,36115,8712,0.322,16715,778,410,20.85,,30.33,0.267,1.12E-06
Basalt,TWILL,,220,31449,31449,0.152,20404,410,,410,,68.91,0.15,1.47E-06
,,,,,,,,,,,,,,
Vetro,UD,,160,57200,,0.239,19450,1202,450*,,,43.03,0.15,1.07E-06
Vetro,BIAX,,300,23750,23750,0.132,14230,425,100**,425,100,196,0.27,1.11E-06
Carbon_prepreg,UD,CIT HM124 12K M46J ER450G 36%,194,217000,6680,0.313,4080,,,,,81.6,0.124,1.56E-06
